statement,label,subject,subject_category,template_id,family,axis
Smoke filled the shed while the dog remained stuck behind the jammed door.,1,dog,companion,fire_02,fire,harm
Smoke filled the shed while the cat remained stuck behind the jammed door.,1,cat,companion,fire_02,fire,harm
Smoke filled the shed while the puppy remained stuck behind the jammed door.,1,puppy,companion,fire_02,fire,harm
Smoke filled the shed while the kitten remained stuck behind the jammed door.,1,kitten,companion,fire_02,fire,harm
Smoke filled the shed while the tomcat remained stuck behind the jammed door.,1,tomcat,companion,fire_02,fire,harm
Smoke filled the shed while the kitty remained stuck behind the jammed door.,1,kitty,companion,fire_02,fire,harm
Smoke filled the shed while the hamster remained stuck behind the jammed door.,1,hamster,companion,fire_02,fire,harm
Smoke filled the shed while the gerbil remained stuck behind the jammed door.,1,gerbil,companion,fire_02,fire,harm
Smoke filled the shed while the ferret remained stuck behind the jammed door.,1,ferret,companion,fire_02,fire,harm
Smoke filled the shed while the chinchilla remained stuck behind the jammed door.,1,chinchilla,companion,fire_02,fire,harm
Smoke filled the shed while the hound remained stuck behind the jammed door.,1,hound,companion,fire_02,fire,harm
Smoke filled the shed while the mutt remained stuck behind the jammed door.,1,mutt,companion,fire_02,fire,harm
Smoke filled the shed while the poodle remained stuck behind the jammed door.,1,poodle,companion,fire_02,fire,harm
Smoke filled the shed while the beagle remained stuck behind the jammed door.,1,beagle,companion,fire_02,fire,harm
Smoke filled the shed while the terrier remained stuck behind the jammed door.,1,terrier,companion,fire_02,fire,harm
Smoke filled the shed while the spaniel remained stuck behind the jammed door.,1,spaniel,companion,fire_02,fire,harm
Smoke filled the shed while the labrador remained stuck behind the jammed door.,1,labrador,companion,fire_02,fire,harm
Smoke filled the shed while the collie remained stuck behind the jammed door.,1,collie,companion,fire_02,fire,harm
Smoke filled the shed while the pug remained stuck behind the jammed door.,1,pug,companion,fire_02,fire,harm
Smoke filled the shed while the bulldog remained stuck behind the jammed door.,1,bulldog,companion,fire_02,fire,harm
Smoke filled the shed while the retriever remained stuck behind the jammed door.,1,retriever,companion,fire_02,fire,harm
Smoke filled the shed while the dalmatian remained stuck behind the jammed door.,1,dalmatian,companion,fire_02,fire,harm
Smoke filled the shed while the greyhound remained stuck behind the jammed door.,1,greyhound,companion,fire_02,fire,harm
Smoke filled the shed while the corgi remained stuck behind the jammed door.,1,corgi,companion,fire_02,fire,harm
Smoke filled the shed while the dachshund remained stuck behind the jammed door.,1,dachshund,companion,fire_02,fire,harm
Smoke filled the shed while the chihuahua remained stuck behind the jammed door.,1,chihuahua,companion,fire_02,fire,harm
Smoke filled the shed while the husky remained stuck behind the jammed door.,1,husky,companion,fire_02,fire,harm
Smoke filled the shed while the mastiff remained stuck behind the jammed door.,1,mastiff,companion,fire_02,fire,harm
Smoke filled the shed while the whippet remained stuck behind the jammed door.,1,whippet,companion,fire_02,fire,harm
Smoke filled the shed while the schnauzer remained stuck behind the jammed door.,1,schnauzer,companion,fire_02,fire,harm
Smoke filled the shed while the pomeranian remained stuck behind the jammed door.,1,pomeranian,companion,fire_02,fire,harm
Smoke filled the shed while the rottweiler remained stuck behind the jammed door.,1,rottweiler,companion,fire_02,fire,harm
Smoke filled the shed while the lapdog remained stuck behind the jammed door.,1,lapdog,companion,fire_02,fire,harm
Smoke filled the shed while the malamute remained stuck behind the jammed door.,1,malamute,companion,fire_02,fire,harm
Smoke filled the shed while the tabby remained stuck behind the jammed door.,1,tabby,companion,fire_02,fire,harm
Smoke filled the shed while the calico remained stuck behind the jammed door.,1,calico,companion,fire_02,fire,harm
Smoke filled the shed while the ragdoll remained stuck behind the jammed door.,1,ragdoll,companion,fire_02,fire,harm
Smoke filled the shed while the tortoiseshell remained stuck behind the jammed door.,1,tortoiseshell,companion,fire_02,fire,harm
Smoke filled the shed while the moggy remained stuck behind the jammed door.,1,moggy,companion,fire_02,fire,harm
Smoke filled the shed while the housecat remained stuck behind the jammed door.,1,housecat,companion,fire_02,fire,harm
Smoke filled the shed while the pig remained stuck behind the jammed door.,0,pig,farmed,fire_02,fire,harm
Smoke filled the shed while the piglet remained stuck behind the jammed door.,0,piglet,farmed,fire_02,fire,harm
Smoke filled the shed while the sow remained stuck behind the jammed door.,0,sow,farmed,fire_02,fire,harm
Smoke filled the shed while the hog remained stuck behind the jammed door.,0,hog,farmed,fire_02,fire,harm
Smoke filled the shed while the swine remained stuck behind the jammed door.,0,swine,farmed,fire_02,fire,harm
Smoke filled the shed while the cow remained stuck behind the jammed door.,0,cow,farmed,fire_02,fire,harm
Smoke filled the shed while the calf remained stuck behind the jammed door.,0,calf,farmed,fire_02,fire,harm
Smoke filled the shed while the heifer remained stuck behind the jammed door.,0,heifer,farmed,fire_02,fire,harm
Smoke filled the shed while the bull remained stuck behind the jammed door.,0,bull,farmed,fire_02,fire,harm
Smoke filled the shed while the steer remained stuck behind the jammed door.,0,steer,farmed,fire_02,fire,harm
Smoke filled the shed while the bullock remained stuck behind the jammed door.,0,bullock,farmed,fire_02,fire,harm
Smoke filled the shed while the ox remained stuck behind the jammed door.,0,ox,farmed,fire_02,fire,harm
Smoke filled the shed while the sheep remained stuck behind the jammed door.,0,sheep,farmed,fire_02,fire,harm
Smoke filled the shed while the lamb remained stuck behind the jammed door.,0,lamb,farmed,fire_02,fire,harm
Smoke filled the shed while the ewe remained stuck behind the jammed door.,0,ewe,farmed,fire_02,fire,harm
Smoke filled the shed while the ram remained stuck behind the jammed door.,0,ram,farmed,fire_02,fire,harm
Smoke filled the shed while the shearling remained stuck behind the jammed door.,0,shearling,farmed,fire_02,fire,harm
Smoke filled the shed while the goat remained stuck behind the jammed door.,0,goat,farmed,fire_02,fire,harm
Smoke filled the shed while the nanny goat remained stuck behind the jammed door.,0,nanny_goat,farmed,fire_02,fire,harm
Smoke filled the shed while the billy goat remained stuck behind the jammed door.,0,billy_goat,farmed,fire_02,fire,harm
Smoke filled the shed while the chicken remained stuck behind the jammed door.,0,chicken,farmed,fire_02,fire,harm
Smoke filled the shed while the hen remained stuck behind the jammed door.,0,hen,farmed,fire_02,fire,harm
Smoke filled the shed while the laying hen remained stuck behind the jammed door.,0,laying_hen,farmed,fire_02,fire,harm
Smoke filled the shed while the rooster remained stuck behind the jammed door.,0,rooster,farmed,fire_02,fire,harm
Smoke filled the shed while the chick remained stuck behind the jammed door.,0,chick,farmed,fire_02,fire,harm
Smoke filled the shed while the pullet remained stuck behind the jammed door.,0,pullet,farmed,fire_02,fire,harm
Smoke filled the shed while the broiler remained stuck behind the jammed door.,0,broiler,farmed,fire_02,fire,harm
Smoke filled the shed while the capon remained stuck behind the jammed door.,0,capon,farmed,fire_02,fire,harm
Smoke filled the shed while the turkey remained stuck behind the jammed door.,0,turkey,farmed,fire_02,fire,harm
Smoke filled the shed while the dairy cow remained stuck behind the jammed door.,0,dairy_cow,farmed,fire_02,fire,harm
Smoke filled the shed while the donkey remained stuck behind the jammed door.,0,donkey,farmed,fire_02,fire,harm
Smoke filled the shed while the mule remained stuck behind the jammed door.,0,mule,farmed,fire_02,fire,harm
Smoke filled the shed while the foal remained stuck behind the jammed door.,0,foal,farmed,fire_02,fire,harm
Smoke filled the shed while the pony remained stuck behind the jammed door.,0,pony,farmed,fire_02,fire,harm
Smoke filled the shed while the mare remained stuck behind the jammed door.,0,mare,farmed,fire_02,fire,harm
Smoke filled the shed while the colt remained stuck behind the jammed door.,0,colt,farmed,fire_02,fire,harm
Smoke filled the shed while the workhorse remained stuck behind the jammed door.,0,workhorse,farmed,fire_02,fire,harm
Smoke filled the shed while the alpaca remained stuck behind the jammed door.,0,alpaca,farmed,fire_02,fire,harm
Smoke filled the shed while the llama remained stuck behind the jammed door.,0,llama,farmed,fire_02,fire,harm
Smoke filled the shed while the yak remained stuck behind the jammed door.,0,yak,farmed,fire_02,fire,harm
